politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,category,topics
123532,Rechtsanwalt - Mandant 33063,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2077.54,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 33016,Einkommen im Jahr 2025,Komning Rechtsanwälte,4,16637.28,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 33010,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2404.79,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 32769,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1492.2,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 32714,Einkommen im Jahr 2025,Komning Rechtsanwälte,2,3561.95,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 32701,Einkommen im Jahr 2025,Komning Rechtsanwälte,3,13670.14,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 32638,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2409.75,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 31697,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1487.5,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 31555, Gesundheitswesen",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1236.49,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 27701, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,3002.37,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 27025, Gewerbe",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1305.0,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2384, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,3,7502.36,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2364, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2259.81,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2344, Gesundheitswesen",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,3243.58,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2326, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1563.72,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2304, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2433.55,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2300, Gesundheitsbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,6003.55,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2299, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,5408.55,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2266, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,4041.84,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2251, Gesundheitsbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2589.92,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2229, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,5777.66,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2227, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1691.83,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2227, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,4224.2,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2207, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,5081.54,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 2138, Dienstleistungsbranche",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,3326.05,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 20552, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1417.96,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1987, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2318.54,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1922, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,4482.49,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1921, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,3,8117.76,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1861, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,5035.13,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1772, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2892.71,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1741, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,3666.09,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1573, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,3734.22,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 1188, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1487.5,,1769690221,29647,Recht
121794,Beteiligung,,"Sahara Vermögensverwaltung GmbH, Karlsruhe,",,,,1769685901,29231,"Raumordnung, Bau- und Wohnungswesen"
121794,Beteiligung,,JMV SE & Co. KG,,,,1769685700,29231,Wirtschaft
121794,Beteiligung,,Andreashof JEREDIN GmbH,,,,1769685103,29231,"Umwelt|Gesellschaftspolitik, soziale Gruppen|Wirtschaft"
79335,Beteiligung,,Prof. Dr. Ludewig + Sozien GmbH & Co. KG Wirtschaftsprüfungsgesellschaft | Steuerberatungsgesellschaft | Rechtsanwälte,,,,1769674078,29231,Recht|Finanzen
79335,Präsident,,Steuerberaterkammer Niedersachsen,,,,1769614827,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
