mandate_id,politician_id
53598,79051
53597,79331
53596,146839
53595,79223
53594,78821
53593,79234
53591,78816
53590,146003
53589,175537
53588,79046
53587,79193
53586,79040
53585,120284
53584,110218
53583,146383
53582,146378
53581,110052
53580,175904
53579,145789
53578,145791
53577,145795
53576,175459
53575,146833
53574,146837
53573,175502
53572,79366
53571,110066
53569,146375
53568,175506
53567,146830
53566,78892
53565,79198
53564,31605
53563,78957
53562,78865
53561,175538
53560,175555
53559,159644
53558,118131
53557,79479
53556,79004
53555,135209
53554,135407
53553,175755
53552,135322
53551,119621
53550,122050
53549,29256
53548,119708
53547,145767
53546,145764
53545,145770
53544,150292
53543,145771
53541,79312
53539,78851
53538,79150
53537,79432
53536,175627
53535,175541
53534,31707
53533,30864
53532,175820
53531,146359
53530,146360
53529,31751
53528,175518
53527,175478
53526,175408
53525,175484
53524,168396
53523,30917
53522,79328
53521,79205
53519,79238
53518,170325
53517,78932
53516,150288
53515,141110
53514,29202
53512,175526
53509,79147
53508,79199
53507,175737
53506,121638
53505,124218
53504,78824
53503,78854
53502,152755
53501,150298
53500,78992
53499,175629
53498,79475
53497,177310
53496,132971
53495,132869
53494,150291
53493,31221
53492,145723
53491,31216
53490,29084
53489,79029
53488,79391
53487,79233
53486,73691
53485,73426
53484,73300
53483,149570
53482,136366
53481,146055
53480,149539
53479,175587
53478,145921
53477,136302
53476,175593
53475,136080
53474,79247
53473,175563
53472,78944
53470,145913
53469,78856
53468,136013
53467,175915
53466,121468
53465,145711
53464,122027
53463,175920
53462,175931
53461,175693
53460,120356
53459,135980
53458,175758
53457,29297
53456,146300
53455,136537
53454,135929
53453,175480
53452,175397
53451,175394
53450,79476
53449,79335
53448,149653
53447,79116
53446,29490
53445,175830
53444,79393
53443,79132
53442,119082
53441,79293
53440,130124
53439,78948
53438,79281
53437,79420
53436,78934
53434,175527
53433,130480
53432,175642
53431,119861
53430,175606
53429,78852
53428,175532
53427,175598
53426,175645
53425,121603
53424,175643
53423,79358
53422,175624
53421,121794
53420,175603
53419,164992
53418,145969
53417,79021
53416,147328
53415,145959
53414,79403
53413,79129
53412,79325
53411,147331
53410,147226
53409,175918
53408,150294
53407,130094
53406,145751
53405,78920
53404,130072
53403,146289
53402,66705
