politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
182883,David Gregosz,CDU/CSU,Unternehmer,1983.0,,m,Doppelstudium Volkswirtschaftslehre und Politikwissenschaft,7.268385,0.3326518
175537,Armin Grau,BÜNDNIS 90/­DIE GRÜNEN,"Arzt, MdB",1959.0,Prof. Dr.,m,Neurologe,-3.0311775,7.8275433
123289,Adrian Grasse,CDU/CSU,MdA,1975.0,,m,Industrie- und Diplom-Kaufmann,7.2604046,0.32348344
108738,Fabian Gramling,CDU/CSU,MdB,1987.0,,m,Betriebswirt,7.2427425,0.3554464
174123,Hans-Jürgen Goßner,AfD,Bundestagsabgeordneter,1970.0,,m,,-4.0161343,-8.73498
66285,Kay Gottschalk,AfD,MdB,1965.0,,m,Diplom-Kaufmann,-4.827081,-9.146825
79353,Nicole Gohlke,Die Linke,MdB,1975.0,,f,Kommunikationswissenschaftlerin,-7.172699,9.097096
175923,Hannes Gnauck,AfD,MdB,1991.0,,m,Soldat auf Zeit,-4.8240247,-9.202354
79481,Angelika Glöckner,SPD,MdB,1962.0,,f,Verwaltungsfachwirtin,7.250391,0.3309183
123018,Ronald Gläser,AfD,MdA,1973.0,,m,"Amerikanist, Journalist",-4.4300995,-8.426985
183252,Vinzenz Glaser,Die Linke,Sozialarbeiter in der offenen Kinder- und Jugendarbeit,1992.0,,m,Sozialarbeiter,-6.9325876,8.83706
147328,Jan-Niclas Gesenhues,BÜNDNIS 90/­DIE GRÜNEN,MdB,1990.0,Dr.,m,Volkswirt,-1.6299902,5.987526
79356,Martin Gerster,SPD,MdB,1971.0,,m,Politikwissenschaftler,7.2292075,0.21090752
122857,Katalin Gennburg,Die Linke,MdA,,,f,Philosophie / Urbanistik,-8.073312,8.96577
125186,Jonas Geissler,CDU/CSU,MdB und Regierungsrat a.D.,1984.0,Dr.,m,Promotion,7.22772,0.30891567
79366,Thomas Gebhart,CDU/CSU,MdB,1971.0,Dr.,m,Studium BWL und Politikwissenschaft,7.2365284,0.30809876
175891,Wilhelm Gebhard,CDU/CSU,,,,m,,6.912924,0.22468753
183283,Kathrin Gebel,Die Linke,Studentin ,1997.0,,f,,-8.013587,8.95306
31216,Alexander Gauland,AfD,MdB,1941.0,Dr.,m,Jurist,-2.9924345,-8.012762
79364,Matthias Gastel,BÜNDNIS 90/­DIE GRÜNEN,MdB,1970.0,,m,"Dipl.-Sozialpädagoge, -Kaufmann",-3.0140073,7.775862
175645,Schahina Gambir,BÜNDNIS 90/­DIE GRÜNEN,"Wirtschafts- und Politikwissenschaftlerin (Bachelor), Gender Studies (Master)",1991.0,,f,Veranstaltungskauffrau,-3.1394355,7.710899
183508,Boris Gamanov,AfD,Geschäftsführer,1986.0,,m,Wirtschaftsfachwirt,-3.875023,-8.637006
182110,Rainer Galla,AfD,,,,m,Jurist,-3.8541007,-8.463762
79389,Hermann Färber,CDU/CSU,MdB,1963.0,,m,Landwirt,7.2539725,0.30698538
150288,Götz Frömming,AfD,MdB,1968.0,,m,Studiendirektor,-3.9747622,-8.719809
108761,Markus Frohnmaier,AfD,MdB,1991.0,,m,Rechtswissenschaft,-3.0328546,-8.1571665
79370,Michael Frieser,CDU/CSU,MdB,1964.0,,m,Rechtswissenschaften,6.9603124,0.43972877
79378,Thorsten Frei,CDU/CSU,MdB,1973.0,,m,Jurist,7.2449193,0.34120744
182826,Christoph Frauenpreiß,CDU/CSU,,,,m,diplomierter Bankbetriebswirt (FS),7.2134643,0.3420631
183125,Simone Fischer,BÜNDNIS 90/­DIE GRÜNEN,,1979.0,,f,Diplom-Verwaltungswirtin,-3.6354496,7.5723214
175925,Hauke Finger,AfD,Referent,1968.0,,m,Bankbetriebswirt,-3.9784267,-8.7165
175491,Sebastian Fiedler,SPD,MdB,1973.0,,m,,7.185544,0.34296435
